Insti;Regiao;Estado
UFOP;Sudeste;Minas Gerais
UFS;Nordeste;Sergipe
UFMA;Nordeste;Maranhão
UESB;Nordeste;Bahia
UFPA;Norte;Pará
UESC;Nordeste;Bahia
UFRRJ;Sudeste;Rio De Janeiro
UFMG;Sudeste;Minas Gerais
UNIMONTES;Sudeste;Minas Gerais
UFRJ;Sudeste;Rio De Janeiro
UFT;Norte;Tocantins
UNIP;Sudeste;São Paulo
UNIFESSPA;Norte;Pará
UNIVERSIDADE CRUZEIRO DO SUL;Sudeste;São Paulo
PUC;Sudeste;Minas Gerais
UFU;Sudeste;Minas Gerais
FUMEC;Sudeste;Minas Gerais
USP;Sudeste;São Paulo
UFVJM;Sudeste;Minas Gerais
UNA;Sudeste;Minas Gerais
UFAC;Norte;Acre
UFPE;Nordeste;Pernambuco
UFGD;Centro Oeste;Mato Grosso Do Sul
INSTITUTO FEDERAL DO PARÁ CAMPUS- CASTANHAL;Norte;Pará
URCA;Nordeste;Ceará
UFMT;Centro Oeste;Mato Grosso
UNIVERSIDAD NACIONAL DE INGENIERIA;;
UFPB;Nordeste;Paraíba
UNICEUB;Sudeste;Minas Gerais
UFC;Nordeste;Ceará
ISL WYDEN;Nordeste;Maranhão
IFTO;Norte;Tocantins
UFRN;Nordeste;Rio Grande Do Norte
UEMG;Sudeste;Minas Gerais
UFRN;Nordeste;Rio Grande Do Norte
UFRPE;Nordeste;Pernambuco
UFPR;Sul;Paraná
UFPEL;Sul;Rio Grande Do Sul
IFCE;Nordeste;Ceará
FAA;Nordeste;Maranhão
UCS;Sul;Rio Grande Do Sul
IFB;Centro Oeste;Distrito Federal
UFRA;Norte;Amazonas
UFSC;Sul;Santa Catarina
UEPB;Nordeste;Paraíba
UFF;Sudeste;Rio De Janeiro
UNIFESP;Sudeste;São Paulo
UFV;Sudeste;Minas Gerais
UNESP;Sudeste;São Paulo
ISRI-MOÇAMBIQUE;;
INSTITUTO FEDERAL DE RONDÔNIA;Norte;Rondônia
UFSJ;Sudeste;Minas Gerais
UNIVERSIDADE DA HAVANA;;
UNIASSELVI;Sul;Santa Catarina
UEM;Sul;Paraná
FIOCRUZ;Sudeste;Rio De Janeiro
UFAM;Norte;Amazonas
UFJF;Sudeste;Minas Gerais
UNIVERSIDADE DE LISBOA;;
UFRGS;Sul;Rio Grande Do Sul
UNIVERSIDAD DE CARABOBO;;
